,alt_title,director,domestic_gross,mojo_slug,opening_per_theater,opening_weekend_take,production_budget,release_date_limited,release_date_wide,title,widest_release,worldwide_gross,year
2211,The Mexican (2001),Gore Verbinski,66845033.0,mexican,6814.0,20108829.0,57000000.0,,2001-03-02,The Mexican ,3162.0,147845033.0,2001.0
2212,Miami Vice (2006),Michael Mann,63450470.0,miamivice,8515.0,25723815.0,135000000.0,,2006-07-28,Miami Vice,3026.0,163794509.0,2006.0
2213,Michael (1996),Nora Ephron,95318203.0,michael,8143.0,17435711.0,,,1996-12-25,Michael ,2325.0,119718203.0,1996.0
2214,Michael Clayton (2007),Tony Gilroy,49033882.0,michaelclayton,4131.0,10373422.0,,2007-10-05,2007-10-12,Michael Clayton,2585.0,92991835.0,2007.0
2215,Middle Men (2010),George Gallo,754301.0,middlemen,1292.0,325641.0,20000000.0,,2010-08-06,Middle Men,252.0,,2010.0
2216,Middle of Nowhere ,,,middleofnowhere,,,,,,,,,
2217,Midnight in Paris (2011),Woody Allen,56817045.0,midnightinparis,6177.0,5830723.0,17000000.0,2011-05-20,2011-06-10,Midnight in Paris,1038.0,151119219.0,2011.0
2218,Midnight Meat Train (2008),Ryuhei Kitamura,83361.0,midnightmeattrain,337.0,34394.0,,,2008-08-01,Midnight Meat Train,102.0,3533227.0,2008.0
2219,Midnight Run (1988),Martin Brest,38413606.0,midnightrun,4755.0,5506290.0,,,1988-07-22,Midnight Run ,1161.0,81613606.0,1988.0
2220,Midnight's Children (2013),,190022.0,midnightschildren,6100.0,12200.0,,,2013-04-26,Midnight's Children,17.0,190022.0,2013.0
